commodity,commodity_id,description,unit,role,balance_status,producers,producer_modes,consumers,consumer_modes,positive_demand_years,specified_demand_2020_2024,accumulated_demand_2020_2024,trade_or_storage_links,solved_production_2020_2024,solved_use_2020_2024,active_linked_technologies_2020_2024,active_producers_2020_2024,active_consumers_2020_2024,warning_codes,proposed_disposition,evidence_or_assumption_ids
LTOT,COM_syc8d,Default commodity,PJ,stock,connected,MINLNDTOT,1,LNDBARTOT;LNDBLTTOT;LNDCASHITOT;LNDCASHRTOT;LNDCASLITOT;LNDCASLRTOT;LNDCONHITOT;LNDCONHRTOT;LNDCONLITOT;LNDCONLRTOT;LNDFORTOT;LNDGRSTOT;LNDOTHHITOT;LNDOTHHRTOT;LNDOTHLITOT;LNDOTHLRTOT;LNDOTHTOT;LNDSGCHITOT;LNDSGCHRTOT;LNDSGCLITOT;LNDSGCLRTOT;LNDWATTOT;LNDYAMHITOT;LNDYAMHRTOT;LNDYAMLITOT;LNDYAMLRTOT,1,,0,0,,91.3644,91.365,LNDCASHRTOT;LNDCONHRTOT;LNDFORTOT;LNDOTHHRTOT;LNDSGCHRTOT;LNDYAMHRTOT;MINLNDTOT,MINLNDTOT,LNDCASHRTOT;LNDCONHRTOT;LNDFORTOT;LNDOTHHRTOT;LNDSGCHRTOT;LNDYAMHRTOT,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LWATTOT,COM_xefp7,Default commodity,PJ,stock,connected,LNDWATTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,26,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LYAMHITOT,COM_dtsat,Default commodity,PJ,stock,connected,LNDYAMHITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,12,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LYAMHRTOT,COM_z5kp6,Default commodity,PJ,stock,connected,LNDYAMHRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,14,,0,0,,0.2978,0.2978,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDYAMHRTOT,LNDYAMHRTOT,LNDAGRFJIC04,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LYAMLITOT,COM_equ8e,Default commodity,PJ,stock,connected,LNDYAMLITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LYAMLRTOT,COM_gj19n,Default commodity,PJ,stock,connected,LNDYAMLRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,2,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
NGS,COM_m0d5g,Default commodity,PJ,resource,connected,MINNGS,1,DEMCOMNGS;DEMINDNGS;DEMRESNGS;DEMTRANGS;EXPNGS,1,,0,0,EXPNGS,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
OILFJI,COM_b68ng,Default commodity,PJ,resource,connected,MINOILFJI,1,PWROILFJIXX01,1,,0,0,,0,0,PWROILFJIXX01,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
OILINT,COM_agjuu,Default commodity,PJ,resource,connected,MINOILINT,1,PWROILFJIXX01,2,,0,0,,26.3223,26.3226,MINOILINT;PWROILFJIXX01,MINOILINT,PWROILFJIXX01,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
OTHFJI,COM_0f9pp,Default commodity,PJ,resource,connected,MINOTHFJI,1,PWROTHFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
OTHINT,COM_zpa8h,Default commodity,PJ,resource,connected,MINOTHINT,1,PWROTHFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
PETFJI,COM_vltgg,Default commodity,PJ,resource,connected,MINPETFJI,1,PWRPETFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
PETINT,COM_joqwg,Default commodity,PJ,resource,connected,MINPETINT,1,PWRPETFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
PUBWATFJI,COM_mmv3k,Billed public-water delivery service.,km3,service,connected,DEMPUBGWTFJI;DEMPUBSURFJI,1,,,2020;2021;2022;2023;2024,0.345867,0,,0.3458,0,DEMPUBSURFJI,DEMPUBSURFJI,,,Phase 1B connected observed 2020-2024 public-water demand to the evidenced surface-water route; retain and validate.,DS-FBS-WATER-2024;M-WTR-01
RESBIO,COM_vqli5,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMRESBIO,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
RESELCFJIXX02,COM_8hyud,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMRESELCFJIXX02,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
RESKER,COM_r783x,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMRESKER,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
RESLPG,COM_ctrss,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMRESLPG,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
RESNGS,COM_a4rza,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMRESNGS,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
SOL,COM_k9xua,Default commodity,PJ,resource,produced_unconsumed_undemanded,RNWSOL,1,,,,0,0,,0,0,,,,output_only_resource_carrier;produced_unconsumed_undemanded,Phase 1D: represent availability or potential; do not add final demand solely to remove a topology warning.,DS-OSEMOSYS-GLOBAL;A-ENE-02
SPVFJIXX,COM_mkmpm,Default commodity,PJ,resource,connected,RNWSPVFJIXX,1,PWRSPVFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
TRADSL,COM_rbmum,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRADSL,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
TRAELCFJIXX02,COM_sbabn,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRAELCFJIXX02,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
TRAGSL,COM_1sea7,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRAGSL,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
TRAHFO,COM_3epvf,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRAHFO,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
TRAKER,COM_bhge7,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRAKER,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
TRANGS,COM_ojz9i,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMTRANGS,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
URNFJI,COM_lpui8,Default commodity,PJ,resource,connected,MINURNFJI,1,PWRURNFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
URNINT,COM_h6kiq,Default commodity,PJ,resource,connected,MINURNINT,1,PWRURNFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
WASFJIXX,COM_76sum,Default commodity,PJ,resource,connected,RNWWASFJIXX,1,PWRWASFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
WAVFJIXX,COM_rhr1u,Default commodity,PJ,resource,connected,RNWWAVFJIXX,1,PWRWAVFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
WND,COM_b3uy4,Default commodity,PJ,resource,produced_unconsumed_undemanded,RNWWND,1,,,,0,0,,0,0,,,,output_only_resource_carrier;produced_unconsumed_undemanded,Phase 1D: represent availability or potential; do not add final demand solely to remove a topology warning.,DS-OSEMOSYS-GLOBAL;A-ENE-02
WOFFJIXX,COM_ext3r,Default commodity,PJ,resource,connected,RNWWOFFJIXX,1,PWRWOFFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
WONFJIXX,COM_ethcq,Default commodity,PJ,resource,connected,RNWWONFJIXX,1,PWRWONFJIXX01,1,,0,0,,0.0025,0.0025,PWRWONFJIXX01;RNWWONFJIXX,RNWWONFJIXX,PWRWONFJIXX01,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
WTREVTFJI,COM_94hkx,Annual evapotranspiration water flux.,km3,sink,produced_unconsumed_undemanded,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;3;4;5;6;7;8;9,,,,0,0,,160.7431,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,produced_unconsumed_undemanded,"Phase 1B/1D: document the physical balance, units and boundary; retain as resource, intermediate or sink rather than final demand.",DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
WTRGRCFJI,COM_fezct,Modeled annual groundwater recharge from land-water balance.,km3,resource,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;3;4;5;6;7;8;9,WTRABSFJI,1,,0,0,,5.3834,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,Phase 1B classifies this as annual recharge and connects it to the quarantined WTRABSFJI abstraction layer; retain as a resource.,DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
WTRGWRFJI,COM_phase1b_wtrgwr,"Raw groundwater abstracted from modeled annual recharge; Phase 1B placeholder, inactive until Fiji public-groundwater evidence is supplied.",km3,intermediate,connected,WTRABSFJI,1,DEMPUBGWTFJI,1,,0,0,,0,0,,,,,Retain as the Phase 1B raw-groundwater abstraction intermediate; keep its public route quarantined pending Fiji evidence.,DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
WTRPRCFJI,COM_dc2rl,Annual precipitation water flux.,km3,resource,connected,MINPRCFJI,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;3;4;5;6;7;8;9,,0,0,,232.9732,232.9728,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;MINPRCFJI,MINPRCFJI,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,"Phase 1B/1D: document the physical balance, units and boundary; retain as resource, intermediate or sink rather than final demand.",DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
WTRSURFJI,COM_a2ev2,Modeled annual surface-water runoff resource.,km3,resource,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;3;4;5;6;7;8;9,DEMAGRSURFJI;DEMPUBSURFJI,1,,0,0,,66.9383,0.7164,DEMPUBSURFJI;LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,DEMPUBSURFJI,,"Phase 1B/1D: document the physical balance, units and boundary; retain as resource, intermediate or sink rather than final demand.",DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
